CD	ID	FD	WD	ED
12	1	4	0	8
16	2	7	0	9
17	5	13	0	4
24	9	18	0	6
26	6	14	0	12
27	3	9	0	18
28	4	13	0	15
33	10	20	8	5
34	7	15	2	17
35	8	18	0	17
37	14	26	0	11
38	13	24	0	14
38	22	34	0	4
41	23	36	0	5
42	17	27	0	15
44	12	23	3	18
51	11	22	11	18
54	15	26	8	20
57	24	39	0	18
57	25	43	0	14
58	26	45	0	13
58	20	31	7	20
59	30	51	0	8
60	31	53	0	7
62	16	26	32	4
66	34	59	0	7
68	33	55	2	11
70	19	31	31	8
71	18	30	31	10
72	35	60	0	12
73	40	67	0	6
74	32	53	0	21
76	39	67	0	9
78	28	47	0	31
79	41	67	6	6
81	37	63	2	16
81	29	51	20	10
82	27	47	23	12
83	46	77	3	3
84	45	75	4	5
92	43	67	9	16
94	42	67	7	20
100	47	81	0	19
102	56	97	0	5
103	51	88	0	15
104	50	87	0	17
104	44	71	7	26
105	53	93	0	12
106	54	94	0	12
112	49	87	2	23
112	59	102	0	10
113	60	105	0	8
116	58	101	0	15
117	61	106	0	11
119	62	107	4	8
122	63	110	5	7
122	52	91	16	15
122	57	101	11	10
127	66	118	0	9
132	64	113	0	19
133	67	122	0	11
134	70	125	0	9
138	68	122	0	16
140	69	124	0	16
141	71	127	0	14
144	72	131	0	13
145	65	114	8	23
148	74	137	2	9
148	73	133	0	15
148	77	140	0	8
150	78	143	0	7
152	76	140	0	12
164	85	159	0	5
164	75	137	8	19
167	82	153	0	14
167	83	157	0	10
170	81	153	0	17
170	80	150	0	20
170	84	158	0	12
173	79	146	5	22
174	87	163	0	11
174	36	62	0	112
177	86	163	1	13
182	88	166	1	15
192	89	169	1	22
198	90	171	2	25
....................................................
....................................................
Missions: 86 [M: 22, P: 38, E: 26]
Rovers: 10[M: 1, P: 7, E: 2]
Avg Wait= 3.27907, Avg Exec = 14.1163
Auto-Promoted: 0%
